Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tset,Tamb
9.918833115,3.187033236,2.362524853,39.08527731,58.20665549,24.98135354,16.06987946,13.70736632,12.02436022,100,4239.697204,6.993666898,12,30
9.917770347,3.171476113,2.362467525,39.08530263,58.21056164,24.93808833,16.03894481,13.70741193,11.85956776,100,4365.179898,6.959730341,12,30
9.91287242,3.128382094,2.22481222,39.08133176,58.24990756,24.79411592,15.80701196,13.81413259,11.13408582,100,4542.872971,6.867545274,12,30
9.905957292,3.102175374,1.84077392,39.06302728,58.21584074,24.67826553,15.38884586,13.96623804,10.38072084,100,4597.920346,6.814898269,12,30
9.894401242,3.098004495,1.605238419,39.03717257,58.04916103,24.61431618,14.91734256,13.78360744,9.898950509,100,4546.209664,6.811547736,12,30
9.878548712,3.106700797,1.567611389,38.99393586,57.81185721,24.5839914,14.49142405,13.34973117,9.676737533,100,4443.463758,6.836093569,12,30
9.860097626,3.118783185,1.646019997,38.93456227,57.57275031,24.57121098,14.15333058,12.84540405,9.622290095,100,4344.238921,6.867073806,12,30
9.840517145,3.128791076,1.754679274,38.86536601,57.37347861,24.56675822,13.90527658,12.39865131,9.650088997,100,4268.734638,6.892361786,12,30
9.820926295,3.134555218,1.844437661,38.79182786,57.23651069,24.56619777,13.73623351,12.06083891,9.706233538,100,4217.584017,6.907268826,12,30
9.801434129,3.136444384,1.896034851,38.71814079,57.15899978,24.56728341,13.62772242,11.84019866,9.763798535,100,4181.038346,6.91282918,12,30
9.782840581,3.135150174,1.912929692,38.64471533,57.14082041,24.56912046,13.57187603,11.71479273,9.813689752,100,4149.23244,6.910667696,12,30
9.765926583,3.131720313,1.901356396,38.57457269,57.17134767,24.57128604,13.56191804,11.67051963,9.85610507,100,4117.084276,6.903190828,12,30
9.749977518,3.126904235,1.870667574,38.51067905,57.23420392,24.57360289,13.59349532,11.69125047,9.894176834,100,4082.175536,6.892116465,12,30
9.734778803,3.121361903,1.827531917,38.45035438,57.32038024,24.5759951,13.6629705,11.76596341,9.929165638,100,4043.924616,6.878956415,12,30
9.719781415,3.115356636,1.777828311,38.39279882,57.41849566,24.57843176,13.7662029,11.88514219,9.962917487,100,4004.43453,6.86434988,12,30
9.705106587,3.109091193,1.723896537,38.33593952,57.52211896,24.58090052,13.89729117,12.04230636,9.995836057,100,3964.581825,6.848823665,12,30
9.691223921,3.102756169,1.667543018,38.28023935,57.62694568,24.58339485,14.05034459,12.22974815,10.02713474,100,3926.201596,6.832876631,12,30
9.677985394,3.096586411,1.610474898,38.22748772,57.7270082,24.58590776,14.2184994,12.43986969,10.0556657,100,3890.05019,6.81711659,12,30
9.66536127,3.090810954,1.554809464,38.17713083,57.81727066,24.58843131,14.39509176,12.66368994,10.08045899,100,3856.365822,6.802134393,12,30
9.653382415,3.08566859,1.502624277,38.12906284,57.8930022,24.59095729,14.57446947,12.89246748,10.10067092,100,3825.639672,6.788528289,12,30
9.6424504,3.081577454,1.456096434,38.08340821,57.94672723,24.59346844,14.74748669,13.11837304,10.11428227,100,3799.846977,6.777334921,12,30
9.632188685,3.078522917,1.419037474,38.04170623,57.98053292,24.59596023,14.91137807,13.32844921,10.12401142,100,3775.857684,6.768553296,12,30
9.622183006,3.076489364,1.391343751,38.00252892,57.9949932,24.59843905,15.0691309,13.52003432,10.13131011,100,3750.75256,6.762109269,12,30
9.612852366,3.075727255,1.372894986,37.96429893,57.98333695,24.60089025,15.21382302,13.69623592,10.13442429,100,3729.850727,6.758639267,12,30
9.604280875,3.076196691,1.365978588,37.92862125,57.94763419,24.60330532,15.34182251,13.84784444,10.13367373,100,3712.417698,6.758097258,12,30
9.596462326,3.077911142,1.370239034,37.89582343,57.88839993,24.60567988,15.45156371,13.97158348,10.12994206,100,3697.52376,6.76053017,12,30
9.589409176,3.080837137,1.385794599,37.86588747,57.80626765,24.60801023,15.54164986,14.06576911,10.12397835,100,3685.242548,6.765879803,12,30
9.583132615,3.084883054,1.412327385,37.8388664,57.70293092,24.61029384,15.61110687,14.12932248,10.11649137,100,3675.656835,6.77395511,12,30
9.577636396,3.089915347,1.4489837,37.81480795,57.58083607,24.61252925,15.65941354,14.16212317,10.10816739,100,3668.817788,6.784467691,12,30
9.57291198,3.095770902,1.494525144,37.79373087,57.44301059,24.61471613,15.68657457,14.16488839,10.09967034,100,3664.712494,6.797058106,12,30
9.568942328,3.102259847,1.547445325,37.77560627,57.29305642,24.61685481,15.69303132,14.13912924,10.09162751,100,3663.257957,6.811302988,12,30
9.565699417,3.109176567,1.606000078,37.76037204,57.13497045,24.61894602,15.67973023,14.08703125,10.08460437,100,3664.288396,6.826738299,12,30
9.563143686,3.116308151,1.668311481,37.74792328,56.97299101,24.62099037,15.64813119,14.01141875,10.07906748,100,3667.552794,6.842877592,12,30
9.561223665,3.123444964,1.732447177,37.7381102,56.81139885,24.62298747,15.60020229,13.91568402,10.07535575,100,3672.719279,6.859235134,12,30
9.559874828,3.130393711,1.796517137,37.73073673,56.65425924,24.62493419,15.53840036,13.80368515,10.07367152,100,3679.388583,6.875354766,12,30
9.559018871,3.136986148,1.858790818,37.72555611,56.50524272,24.62681788,15.46557107,13.67960955,10.07406485,100,3687.005086,6.890830212,12,30
9.558591005,3.143053824,1.917773254,37.72226827,56.36793581,24.62856923,15.38460203,13.54779782,10.07654393,100,3695.211554,6.905253554,12,30
9.558534273,3.148380659,1.971976594,37.72062469,56.24653831,24.63019008,15.2985417,13.41262543,10.0807589,100,3703.373484,6.918108931,12,30
9.558742528,3.152836986,2.019495714,37.72040676,56.14565501,24.63175202,15.21169572,13.27904599,10.08708931,100,3711.203042,6.929054795,12,30
9.55906111,3.15653695,2.059201885,37.72120675,56.06373045,24.63329148,15.12772266,13.15249383,10.09553739,100,3717.181883,6.938296099,12,30
9.559442628,3.159346449,2.092136087,37.72243052,56.00263516,24.63482484,15.05014596,13.03558657,10.10578599,100,3721.360368,6.94549064,12,30
9.559817818,3.161123846,2.117124268,37.723896,55.96405927,24.63636557,14.98369025,12.93302169,10.11659032,100,3723.612797,6.950264029,12,30
9.560102432,3.162326251,2.132923941,37.72533714,55.93909571,24.63791578,14.92541256,12.85076631,10.1278615,100,3724.457935,6.953663207,12,30
9.560250358,3.162780046,2.14360851,37.72643033,55.9312622,24.6394841,14.87995309,12.78180405,10.13951512,100,3723.132959,6.955244606,12,30
9.560230224,3.162689725,2.147640125,37.7269985,55.93554829,24.64107079,14.84594768,12.73231297,10.15122567,100,3720.274273,6.955477238,12,30
9.559998118,3.162079708,2.146837733,37.72692117,55.95101458,24.6426812,14.82537409,12.69910995,10.16264581,100,3715.721997,6.954389696,12,30
9.55949532,3.161055021,2.141417989,37.72602967,55.97430421,24.64432196,14.81990315,12.6839561,10.17289162,100,3709.926584,6.952192963,12,30
9.558853696,3.159889951,2.132312265,37.7240984,56.00106283,24.64597569,14.82031148,12.68759088,10.183131,100,3703.441481,6.949611009,12,30
9.557981075,3.158547138,2.121956294,37.72163378,56.03156633,24.6476556,14.83151633,12.69835519,10.19299258,100,3695.678876,6.946498854,12,30
9.556924383,3.157136852,2.110016784,37.71828166,56.06266373,24.6493578,14.85060539,12.72149955,10.20221778,100,3687.558827,6.943137554,12,30
9.555688258,3.155730423,2.097473155,37.71422212,56.09244094,24.6510852,14.87705114,12.75313224,10.21034304,100,3679.322415,6.939691716,12,30
9.554299445,3.154446,2.08495954,37.70947283,56.11806657,24.65284202,14.9093462,12.7920916,10.21684499,100,3671.514049,6.936441864,12,30
9.552826052,3.153347183,2.073527724,37.70413635,56.13911291,24.65461902,14.94394558,12.83581848,10.22237146,100,3663.79848,6.933573614,12,30
9.55128959,3.152493109,2.063745026,37.69847423,56.15464403,24.6564157,14.97957483,12.88020056,10.22708462,100,3656.255668,6.931233818,12,30
9.549720059,3.151911281,2.056139456,37.69256904,56.16406795,24.65823157,15.01502838,12.92343537,10.23105712,100,3649.081941,6.929498446,12,30
9.548147168,3.151616239,2.050957336,37.68653603,56.16705497,24.66006608,15.04919373,12.96407104,10.23432034,100,3642.438308,6.928413604,12,30
9.546598612,3.151613792,2.048329236,37.68048935,56.16350087,24.66191869,15.08108667,13.0008645,10.23690835,100,3636.430595,6.928004453,12,30
9.545098957,3.151902321,2.048307436,37.67453549,56.15349884,24.66378895,15.10987963,13.03277923,10.23888081,100,3631.116084,6.928277766,12,30
9.543669091,3.152472746,2.050877532,37.66876896,56.13732224,24.66567658,15.13491851,13.0590021,10.24032701,100,3626.517105,6.929221647,12,30
9.542326058,3.153308334,2.055958099,37.66327014,56.11541017,24.66758146,15.15572833,13.07896041,10.24135902,100,3622.632635,6.930805058,12,30
9.541083077,3.154384985,2.063399106,37.6581047,56.08834944,24.6695037,15.17201055,13.09232922,10.24210063,100,3619.445379,6.932978482,12,30
9.539949631,3.155672133,2.072984574,37.65332358,56.05685048,24.67144359,15.18363457,13.09902598,10.2426768,100,3616.925006,6.935676028,12,30
9.5389316,3.157134155,2.084440812,37.64896338,56.02171769,24.67340159,15.19062541,13.09919376,10.24320536,100,3615.029178,6.938818688,12,30
9.538031422,3.158732065,2.097449159,37.64504683,55.98381631,24.67537829,15.19314868,13.09317625,10.24379151,100,3613.703927,6.94231827,12,30
9.537248302,3.160425295,2.111661282,37.64158342,55.94403808,24.67737441,15.19149347,13.0814874,10.24452453,100,3612.884346,6.946081531,12,30
9.536578479,3.162173395,2.126715178,37.63857019,55.90326804,24.6793907,15.1860534,13.06477829,10.24547631,100,3612.496064,6.950014166,12,30
9.53592118,3.164065967,2.14225041,37.63599275,55.8601562,24.68141851,15.17868595,13.04380299,10.24671816,100,3611.516132,6.954290707,12,30
9.535403373,3.165888944,2.159062116,37.63346336,55.81800853,24.68346977,15.16781474,13.01962383,10.24837451,100,3611.913344,6.958458114,12,30
9.535052858,3.167530884,2.175248312,37.63147067,55.77951731,24.68555174,15.15360296,12.99256642,10.25025112,100,3612.943731,6.96226806,12,30
9.534776027,3.169100426,2.189820966,37.63012173,55.7430693,24.68765681,15.13782707,12.96378199,10.25237599,100,3613.67691,6.965938108,12,30
9.534561016,3.170580064,2.203745645,37.62905633,55.70895835,24.68978571,15.12111636,12.93408142,10.25481543,100,3614.267801,6.969421563,12,30
